Organization Name,City,Address,Latitude,Longitude,Province/State,Sector/Type,Services Offered,Website,Email Address,Phone Number,Contact Name,Notes
Altitude Accelerator,"Brampton, ON","6 George Street South, Brampton, ON L6Y 1P1",43.68333,-79.76667,ON,Entrepreneurship/Small Business/Non-Profit Support,"Early-stage startups, advisory, IP support",https://altitudeaccelerator.ca/,info@altitudeaccelerator.ca,289-373-3050,,Not-for-profit innovation hub and business incubator committed to commercializing impactful technology.
"Rogers Cybersecure Catalyst, Toronto Metropolitan University","Brampton, ON","350 Victoria Street, Toronto, ON M5B 2K3",43.6574,-79.3802,ON,Accelerator/Incubator Programs,"Cybersecurity training, fellowship program",https://cybersecurecatalyst.ca/,catalystpress@torontomu.ca,-,Has a contact form on site: https://cybersecurecatalyst.ca/contact-us/,"Rogers Cybersecure Catalyst is Toronto Metropolitan University’s national centre for training, innovation and collaboration in cybersecurity."
Brantford-Brant Business Resource Enterprise Centre,"Brantford, ON","58 Dalhousie St, Brantford, ON N3T 2J2",43.13943,-80.26564,ON,Ecosystem & Business Networks,"Business consulting, training, funding access",https://www.brantford.ca/en/business-and-development/business-resource-centre.aspx,brc@brantford.ca,519-756-4269,,Offers free business advice with expert advisors who have hands-on business experience.
Laurier LaunchPad (Wilfrid Laurier University),"Brantford, ON","67 Darling St, Brantford, ON N3T 2K6",43.13943,-80.26564,ON,Accelerator/Incubator Programs,"Coaching, coworking, mentorship",https://students.wlu.ca/work-leadership-and-volunteering/entrepreneurship/launchpad-brantford/index.html,startuplabbrantford@wlu.ca,-,,"Supports Brantford & Waterloo campuses Provides resources, expertise and networks Guides through the DIscovery, Idea, Build, and Growth Phases."
TechPlace,"Burlington, ON","5500 North Service Rd, Burlington, ON L7L 6W6",43.39599,-79.76131,ON,Innovation Hub / Coworking Space,"Workspace, events, innovation support",https://www.techplace.ca/,info@techplace.ca,289-337-5505,,"An initiative of Burlington Economic Development and Tourism, TechPlace provides everything startups need to grow in one place."
Canadian Tooling & Machining Association (CTMA),"Cambridge, ON","140 McGovern Drive, Unit #3, Cambridge, ON N3H 4R7",43.4101,-80.3329,ON,Ecosystem & Business Networks,"Manufacturing, tooling, machining",https://www.ctma.com/,info@ctma.com,519-653-7265,,"Represents, supports, and promotes the interests of tooling & machining."
Economic Development Services - Chatham-Kent,"Chatham, ON","124 Thames St, Chatham, ON N7L 2Y8",42.4084,-82.1853,ON,Economic Development,"Business support, investment attraction, site selection",https://www.chatham-kent.ca/EconomicDevelopment/Pages/default.aspx,ckeds@chatham-kent.ca,1-866-542-5994,,"Municipal EDO for Chatham-Kent. Resources for businesses and small businesses, programs & grants available."
Small Business Centre Chatham-Kent,"Chatham, ON","124 Thames St, Chatham, ON N7L 2Y8",42.4084,-82.1853,ON,Entrepreneurship/Small Business/Non-Profit Support,"Advisory services, training, funding",https://www.chatham-kent.ca/EconomicDevelopment/yourbusiness/Pages/Locations.aspx,cksbc@chatham-kent.ca,519-351-7700,,Supports early-stage entrepreneursin Chatham-Kent.
SOAR Innovation,"Chatham, ON","202 King Street West Suite 300, Chatham, Ontario N7M 1E5",42.40527,-82.1878,ON,Accelerator/Incubator Programs,"Startup advisory, coworking, workshops",https://soarinnovation.com/,info@soarinnovation.com,519-397-3142,,"Not-for-profit, community centric organization that functions as an epicenter for entrepreneurship."
Essex Community Futures Development Corporation,"Essex, ON","39 Maidstone Ave E, Essex, ON N8M 2J3",42.1736,-82.8236,ON,VC and Funding ,"Business financing, counselling, rural development",https://cfessexcounty.ca/,help@cfessexcounty.ca,519-776-9297,,Not-for-profit dedicated to providing business financing and counselling to entrepreneurs in rural Essex County.
Bioenterprise Canada,"Guelph, ON","120 Research Lane, Suite 202, Guelph, ON N1G 0B4",43.524,-80.226,ON,Accelerator/Incubator Programs,"Agri-tech commercialization, funding access, mentoring",https://bioenterprise.ca/,info@bioenterprise.ca,519-821-2960,,Dedicated to advancing good and agri-tech innovation across Canada.
Innovation Centre at the University of Guelph,"Guelph, ON","50 Stone Rd E, Guelph, ON N1G 2W1",43.5329,-80.2262,ON,Educational Institution / Research and Commercialization,"Tech startups, Agri-tech, Sustainability, Innovation",https://www.uoguelph.ca/research/innovation/,researchinnovation@uoguelph.ca,519-824-4120 x. 58878,,"Supports researchers, entrepreneurs, and industry partners as they navigate the journey from idea to impact."
Ontario Agri-Food Innovation Alliance,"Guelph, ON","50 Stone Road East, Guelph, Ontario N1G 2W1",43.5329,-80.2262,ON,Educational Institution / Research and Commercialization,"Research funding, commercialization support, innovation collaboration, industry partnerships",https://www.uoguelph.ca/alliance/,rhallett@uoguelph.ca,519-824-4120 x. 54488,"Rebecca Hallett, Interim Associate Vice President","Collaboration that brings together the University of Guelph, the Ontario Ministry of Agriculture, Food and Agribusiness, and Agricultural Research and Innovation Ontario to deliver Ontario solutions with global impact."
Innovation Factory,"Hamilton, ON","175 Longwood Rd S #101A, Hamilton, ON L8P 0A1",43.25689,-79.90091,ON,Accelerator/Incubator Programs,"Workshops, funding & investment, IP programming, pitch competitions, early stage programming, peer networks",https://innovationfactory.ca/,info@innovationfactory.ca,905-667-2611,,"Elevates key indsutry sectors including advanced manufacturing, clean tech, IT, smart transportation, life sciences, health care, and social innovations."
The Forge: McMaster University,"Hamilton, ON","175 Longwood Rd S Suite B21, Hamilton, ON L8P 0A1",43.25689,-79.90091,ON,Accelerator/Incubator Programs,"Business acceleration, Tech startups, Entrepreneurship",https://theforge.mcmaster.ca/,info@theforge.mcmaster.ca,905-525-9140 x. 24748,,"The Forge is the business incubator for McMaster University and the Hamilton, Greater Toronto, and Niagara Regions."
Centre for Surgical Invention & Innovation (CSii),"Hamilton, ON","50 Charlton Avenue East, Rm T2140, Hamilton, ON L8N 1Y3",43.2488,-79.8708,ON,Accelerator/Incubator Programs,"Medical robotics and technology, innovation",https://www.csii.ca/,dvivian@stjoes.ca,905-746-8848,"Debra Vivian, Director of Communications",Accelerator committed to enhancing the quality and access to healthcare for all Canadians through the development and commercialization of innovative medical robotic technologies and novel techniques.
Hamilton Business Centre,"Hamilton, ON","71 Main St W, Hamilton, ON L8P 4Y5",43.2559,-79.8729,ON,Government Program - Business Centre,"Programs, workshops, courses, newsletter",https://investinhamilton.ca/hamilton-business-centre/,hbc@hamilton.ca,905-540-6411,,"Provides information, tools, and resources that entrepreneurs need to start and grow their businesses."
Launch Lab,"Kingston, ON","945 Princess St Suite 1101, Kingston, ON K7L 0E9",44.2435,-76.5113,ON,Innovation Hub / Coworking Space,"Business advisory, investment readiness, mentorship",https://www.launchlab.ca/,garrett.eilliott@launchlab.ca,343-276-0023,"Garrett Elliott, General Manager",Eastern Ontario focus. Help companies find success through innovation.
GreenCentre Canada,"Kingston, ON","945 Princess St Suite 1101, Kingston, ON K7L 0E9",44.2435,-76.5113,ON,Educational Institution / Research and Commercialization,"Commercializing green chemistry technologies, sustainable innovation partnerships.",www.greencentrecanada.com ,,,Site is down.,Provides technical services to SMEs based in Ontario that are developing technologies related to the Circular Economy.
Communitech,"Kitchener, ON","151 Charles St W, Kitchener, ON N2G 1H6",43.4512,-80.4983,ON,Ecosystem & Business Networks,"Technology, innovation, startup ecosystem, digital industries, venture funding",https://www.communitech.ca/,front.desk@communitech.ca,519-888-9944,,"Helps tech companies start, grow, and succeed in Waterloo Region."
Golden Triangle Angel Network (GTAN),"Kitchener, ON","210-137 Glasgow St Office 166, Kitchener, ON N2G 4X8",43.45128,-80.51338,ON,VC and Funding,"Health, Cleantech, ICT",https://www.gtan.ca/,info@gtan.ca,-,,"Invests into Canadian Angel, Pre-Seed, Seed, Series A technology companies."
Velocity Incubator,"Kitchener, ON","280 Joseph Street Suite 2000, Kitchener, ON N2G 4Z5",43.45177,-80.50126,ON,Accelerator/Incubator Programs,"Tech startups, Innovation, Office, Hardware, Labs",https://velocityincubator.ca/,-,519-804-2240,Has contact form on site.,Helps founders in the critical early stages of business building. Strengthened by the University of Waterloo.
Conestoga College SMART Centre,"Cambridge, ON","96 Grand Avenue South, Cambridge, ON N1S 2L9",43.35364939,-80.31780683,ON,Educational Institution / Research and Commercialization,"Applied research, manufacturing and tech training, entrepreneurship support, freelance Gig Lab",https://research.conestogac.on.ca/smart-centre,appliedresearch@conestogac.on.ca,519-748-5220,,"Hub for innovation, helping small, medium, and large businesses overcome challenges in manufacturing, IT, automotive, health tech, food and beverage manufacturing, and zero-emissions industries."
Medical Innovation Xchange (MIX),"Kitchener, ON","809 Wellington Street North, Unit 2, Kitchener, ON N2H 5L6",43.4628,-80.4756,ON,Innovation Hub / Coworking Space,"Medtech support, scale-up mentorship.",https://medicalinnovationxchange.com/,info@medicalinnovationxchange.com,-,,"MIX is a network of like-minded, Canadian medical and health technology companies who share the same vision and purpose; to grow their business in their own backyard, support patients and clinicians with truly innovative solutions and pay-it-forward by helping other medtech companies grow and succeed."
Centre for Horticultural Innovation,"Leamington, ON","4 Seneca Road, Leamington, ON N8H 5H7",42.0314,-82.5869,ON,Educational Institution / Research and Commercialization,"Research funding, commercialization support, innovation collaboration, industry partnerships",https://southsx.com/,-,519-322-5995,,"The Center for Horticultural Innovation is a dynamic institution committed to advancing horticultural sciences, fostering innovation, and supporting sustainable practices within the horticulture industry. "
Leap Junction (Fanshawe College),"London, ON","1001 Fanshawe College Blvd, Room D1060, London, ON N5V 2A5",43.0149,-81.1996,ON,Accelerator/Incubator Programs,"Student entrepreneurship, mentorship, business planning",https://www.leapjunction.ca/,leapjunction@fanshawec.ca,519-452-4430 x. 16190,,Entrepreneurial services for Fanshawe College students & alumni.
Propel Entrepreneurship (Western University),"London, ON","1151 Richmond St, London, ON N6A 3K7",43.0096,-81.2737,ON,Accelerator/Incubator Programs,"Mentorship, workshops, co-working, pitch competitions",https://entrepreneurship.uwo.ca/,eamorse@ivey.ca,-,"Eric Morse, Executive Director",Western University’s main entrepreneurship hub.
Pillar Nonprofit Network – Innovation Works,"London, ON","201 King Street London, ON, N6A 1C9",42.9827,-81.2475,ON,Entrepreneurship/Small Business/Non-Profit Support,"Social innovation, community-building, impact entrepreneurship.",https://pillarnonprofit.ca/,membership@pillarnonprofit.ca,519-433-7876,,"Delivers programs and services to strengthen the positive community impact of individuals, organizations, and entrerprises."
TechAlliance of Southwestern Ontario,"London, ON","333 Dufferin Ave, London, ON N6G 1Z3",42.9849,-81.2453,ON,Ecosystem & Business Networks,"Technology innovation, business growth meetups, funding, resources",https://www.techalliance.ca/,hello@techalliance.ca,226-781-7200,,TechAlliance empowers tech companies and entrepreneurs with free coaching and advisory services to grow Canada's vibrant tech community.
London Economic Development Corporation (LEDC),"London, ON","380 Wellington St Suite 701, London, ON N6A 5B5",42.9849,-81.2497,ON,Economic Development,"Business attraction/retention, cluster support",https://www.ledc.com/,-,519-661-4545 or 800-327-2428,,"Works with existing businesses in London and businesses considering expanding to London in the agri-food, manufacturing, digital media and tech, health, and professional services sectors."
Small Business Centre London,"London, ON","900 King St, London, ON N5W 5K3",42.9898,-81.22,ON,Government Program - Business Centre,"Training, mentorship, Starter Company Plus, Foodpreneur program",https://sbcentre.ca/,info@sbcentre.ca,519-659-2882 x.221,,Not-for-profit organization that provides training and support to starting and growing businesses.
Mississauga Business Entrepreneur Centre,"Mississauga, ON","100 City Centre Dr 2nd floor, Mississauga, ON L5B 2C9",43.5929,-79.6426,ON,Government Program - Business Centre,"Business guidance, starter programs mentorship, scale and commercialize solutions",https://www.ideamississauga.ca/,donna.heslin@mississauga.ca,905-615-4460,"Donna Heslin, Manager",City-wide ecosystem led by the Economic Development Division within the City of Mississauga's Planning and BUilding Department.
Northern Centre for Advanced Technology (NORCAT),"Mississauga, ON","151 Superior Blvd. Unit 8-10, Mississauga, ON L5T 2L1",43.6442,-79.6973,ON,Innovation Hub / Coworking Space,"Startup support, skills training, testing lab",https://www.norcat.org/innovation/,gta@norcat.org,647-317-0915,,Sudbury's Regional Innovation Centre focused on supporting early-stage tech startups and the people founding them. Provides access to key resources and connections.
ICUBE UTM (University of Toronto-Mississauga),"Mississauga, ON","3359 Mississauga Rd, Mississauga, ON L5L 1C6",43.5325,-79.6486,ON,Accelerator/Incubator Programs,"Coworking space, mentorship and support, training and programs, grants and resources",https://icubeutm.ca/,icube.utm@utoronto.ca,-,,Supports Social Entrepreneurs & Early-Stage Startups at University of Toronto-Mississauga.
Foresight Canada (Cleantech Accelerator),"Toronto, ON ","192 Spadina Ave, Suite 201, Toronto, ON M5T 2C2",43.65006143,-79.3975424,ON,VC and Funding,"Cleantech startup acceleration, funding access, mentoring.",https://foresightcac.com/,-,604-245-0042,,"As Canada's largest cleantech innovation and adoption accelerator, we connect public and private sector buyers with market-driven innovation—enhancing productivity, lowering costs, and creating high-quality jobs—powered by Canadian cleantech."
Niagara Falls Innovation Hub,"Niagara Falls, ON","4551 Zimmerman Ave, Niagara Falls, ON L2E 3M5",43.1223,-79.0617,ON,Innovation Hub / Coworking Space,"Startups, coworking, business programs",https://nfinnovationhub.ca/,dbordenave@nfinnovationhub.ca,289-650-1770,"Dan Bordenave, CEO","Empowers Niagara's entrepreneurs to build successful, scalable businesses through expert coaching, cutting-edge resources, and a vibrant comunity."
EDGE at Sheridan College,"Mississauga, ON","4226 Duke of York Blvd, Mississauga, ON L5B 0G5",43.5896,-79.6443,ON,Accelerator/Incubator Programs,"Membership, Programs, Workspace, Mentorship, Funding",https://edge.sheridancollege.ca/,edge@sheridancollege.ca,905-615-7955,,"Provides networks, resources, and expertise to turn ideas into impact. A Sheridan College initiative"
Bioindustrial Innovation Canada (BIC),"Sarnia, ON","1086 Modeland Road, Sarnia, ON N7S 6L2",42.9723,-82.3445,ON,Innovation Hub / Coworking Space,"Support for sustainable bioindustrial innovation, bioeconomy scaling, agri-tech commercialization",https://www.bincanada.ca/,mseagrave@bincanada.ca,-,"Meaghan Seagrave, Executive DIrector","Bioindustrial Innovation Canada provides critical strategic investment, advice and services to business developers of clean, green and sustainable technologies. "
Brock LINC (Brock University),"St. Catharines, ON","1812 Sir Isaac Brock Way, St. Catharines, ON L2S 3A1",43.11757,-79.24769,ON,Accelerator/Incubator Programs,"Idea validation, maker space, startup support",https://brocku.ca/linc/,brockLINC@brocku.ca,-,,"Provides support for the Brock and Niagara communities. Support for research commercialization, entrepreneurship, and industry partnerships, with a focus on helping Brock ideas and technologies get to market."
Innovate Niagara,"St. Catharines, ON","386 St. Paul Street Suite 102, St. Catharines, ON L2R 3N2",43.1593,-79.2436,ON,Innovation Hub / Coworking Space,"Mentorship, market intelligence, networking opportunities, funded resources, Niagara's Innovation Ecosystem",https://www.innovateniagara.com/site/home,-,905-685-3460,,"Niagara-wide services Helps entrepreneurs with innovation-based companies start, grow, and succeed."
UTEST (University of Toronto),"Toronto, ON","108 College Street, Suite W680, Toronto, ON M5G 0C6",43.6593,-79.3906,ON,Accelerator/Incubator Programs,"Early-stage deep tech & research startups, provides investment capital, mentoring, business strategy, and incubatino space.",https://utest.to/,kurtis.scissons@utoronto.ca,-,"Kurtis Scissons, Director",Provides support to University of Toronto entrepreneurs to create research-based companies. In partnership with Toronto Innovation Acceleration Partners (TIAP)
Humber Centre for Entrepreneurship,"Toronto, ON","205 Humber College Blvd, Toronto, Ontario M9W 5L7",43.72928,-79.606714,ON,Accelerator/Incubator Programs,"Student startups, bootcamps, co-working",https://humber.ca/cfe/,cfe@humber.ca,-,,"In collaboration with Humber's Centres of Innovation Netword, we provide interdisciplinary learning opportunities that equip students with strategic problem-solving skills and foster innovative thinking."
TMU Social Ventures Zone (TMU),"Toronto, ON","Toronto Metropolitan University KHS 45, 350 Victoria St, Toronto, ON M5B 2K3",43.6583,-79.378,ON,Accelerator/Incubator Programs,"Social entrepreneurship, mentorship, funding, work space",https://www.torontomu.ca/svz/,socialventures@torontomu.ca,416-979-5000 x. 557255,,"Work with innovators to develop their ventures, supporting them with coaching, training, work space, and funding opportunities."
TABIA (Toronto Association of BIAs),"Toronto, ON","100 Princes’ Blvd, Toronto, ON M6K 3C3",43.6353,-79.4111,ON,Business Chamber/Association,"Support for 84 BIAs, marketing, policy advocacy",https://www.toronto-bia.com/,info@toronto-bia.com,416-263-3229,,The voice of Toronto's BIAs.
MaRS Discovery District,"Toronto, ON","101 College Street, Suite 100, Toronto, ON M5G 1L7",43.6599,-79.3886,ON,Innovation Hub / Coworking Space,Targeted support for Canadian science and tech companies,https://marsdd.com/,community@marsdd.com,416-673-8100,,MaRS supports hundreds of companies at every stage of growth to achieve global impact and scale.
MaRS Discovery District - Health Sciences,"Toronto, ON","101 S. Washington Square Suite 900, Lansing, MI 48933",42.7333,-84.5518,ON,Accelerator/Incubator Programs,"Health innovation support, funding navigation, commercialization acceleration.",https://www.marsdd.com/our-sectors/health/,community@marsdd.com,416-673-8100,,"MaRS Health sciences connects innovators with capital, industry expertise and networks, helping ventures scale faster and make global impact."
Toronto Business Development Centre (TBDC),"Toronto, ON","111 Peter St, 9th Floor, Suite 902, Toronto, ON M5V 2H1",43.6479,-79.3925,ON,Accelerator/Incubator Programs,"Startup training, advisory services, access to funding",https://tbdc.com/,-,416-345-9437,,"Non-profit multi-sector incubator set up in 1990 by the City of Toronto, that brings 35 years of experience in building businesses and business networks in Ontario."
Next Canada,"Toronto, ON","175 Bloor St E Suite 1800, Toronto, ON M4W 3R8",43.671,-79.383,ON,Entrepreneurship/Small Business/Non-Profit Support,"Founder education, scaling support, mentorship",https://www.nextcanada.com/,info@nextcanada.com,-,,"Entrepreneurial network made up of 500+ top Canadian academics, entrepreneurs, investors, and founders."
Toronto Global,"Toronto, ON","225 King Street West Suite 901, Toronto, ON M5V 3M2",43.64678,-79.38822,ON,Ecosystem & Business Networks,"FDI support, Site Selection, International Investors",https://torontoglobal.ca/,info@torontoglobal.ca,416-981-3888,,"Understands specific needs and intersts of each company, and offers complimentary services that help streamline access to the information and connections they need most to make a well informed expansion decision."
Canada Foundation for Innovation (CFI),"Ottawa, ON","55 Metcalfe Street, Suite 100, Ottawa, ON K1P 6L5",45.4220725,-75.6966221,ON,Educational Institution / Research and Commercialization,Investments for research,https://www.innovation.ca/,info@innovation.ca,613-947-6496,,"Non-profit corporation that invests in research infrastructure at Canadian universities, colleges, research hospitals, and non-profit research institutions."
DMZ ,"Toronto, ON","10 Dundas Street East, 6th Floor, Toronto, ON M5B 2G9",43.6574,-79.3802,ON,Accelerator/Incubator Programs,"Startup acceleration, funding access, mentorship, pitch competitions",https://dmz.torontomu.ca/,dmz@torontomu.ca,416-979-5000 x. 552072,,"Tech incubator and global startup ecosystem that helps founders build high-impact ventures. Supports entrepreneurship at every stage, from early ideation to international expansion."
CyberNorth Ventures,"Toronto, ON","365 Bay Street, Suite 400, Toronto, ON M5H 2V1",43.651,-79.3809,ON,VC and Funding,Investments,https://www.cybernorthventures.com/,-,-,Unclear if still active. Has a contact form on website.,"Invests in seed stage technology companies focused within industries such as social media, big data, digital healthcare, cloud computing, nano-technology, security and mobile applications. Investments are focused within the Toronto-Waterloo corridor for solely Canadian companies."
Innovation York,"Toronto, ON","4700 Keele St, York University, Toronto, ON M3J 1P3",43.7735,-79.5019,ON,Educational Institution / Research and Commercialization,"Startup incubation, commercialization, research partnerships",https://www.yorku.ca/research/innovation-partnerships/,fmoses@yorku.ca,416-736--5479 or 416-736-2100 x. 58185,"Felix Moses, Senior Executive Officer","Facilitates collaboration with external partners such as startups, research institutions, community and government organizations, and businesses to co-create innovative solutions. Supports ventures at York University"
Centre for Social Innovation (CSI),"Toronto, ON","720 Bathurst St, Toronto, ON M5S 2R4",43.6632,-79.4108,ON,Innovation Hub / Coworking Space,"Social enterprise incubation, coworking space, innovation community-building.",https://socialinnovation.org/,info@socialinnovation.ca,416-979-3939 x. 2,,"Inspires and supports people to create, develop, adopt, and integrate new and renewed concepts and practices that put people and planet first."
Creative Destruction Lab (CDL),"Toronto, ON","Rotman School of Management, 105 St George St, Toronto, ON M5S 3E6",43.6653,-79.3983,ON,Accelerator/Incubator Programs,Venture acceleration for science-based startups mentorship,https://www.creativedestructionlab.com/,smallbusiness@toronto.ca,416-397-7220,,"Non-profit organization that delivers an objectives-based program for massively scalable, seed-stage, science and technology based companies."
Toronto Small Business Enterprise Centre,"Scarborough, ON","150 Borough Dr, Scarborough, ON M1P 4N6",43.7729,-79.2572,ON,Government Program - Business Centre,"Consultations, mentoring, business plan reviews, licensing support",https://www.toronto.ca/business-economy/new-businesses-startups/small-business-support/,,,,"The Toronto Small Business Enterprise Centre offers free guidance, information, and tools entrepreneurs need to start and grow their businesses."
Ontario Chamber of Commerce,"Toronto, ON","180 Dundas St W, Toronto, ON M5G 1Z8",43.6554,-79.3864,ON,Business Chamber/Association,"Policy, member support, promotion, provincial business representation",https://occ.ca/,lisakelly@occ.ca,416-482-5222,"Lisa Kelly, Business Development Manager","Independent, non-profit advocacy and member services organization representing a diverse network of 60,000 members."
Canadian Council for Aboriginal Business (CCAB),"Toronto, ON ","2 Berkeley Street, Suite 202 Toronto, Ontario M5A 4J5",43.65024,-79.36388,ON,Ecosystem & Business Networks,"Indigenous entrepreneurship, economic reconciliation initiatives, business development.",https://www.ccib.ca/,info@ccib.ca,416-961-8663,,"CCIB helps keep Indigenous businesses at the forefront of the Canadian economy, fostering relationships between Indigenous entrepreneurs and Canada’s institutional enterprises to cultivate shared prosperity."
Vineland Research and Innovation Centre,"Vineland Station, ON","4890 Victoria Avenue North, Box 4000, Vineland Station, ON L0R 2E0",43.1667,-79.4033,ON,Educational Institution / Research and Commercialization,"Agri-tech R&D, commercialization, partnerships, horticultural innovation",https://www.vinelandresearch.com/,info@vinelandreasearch.com,905-562-0320,,Canadian results-oriented organization dedicated to horticulture science and innovation.
Institute for Quantum Computing (IQC) (University of Waterloo),"Waterloo, ON","200 University Ave W, Waterloo, ON N2L 3G1",43.46896,-80.53926,ON,Educational Institution / Research and Commercialization,"Quantum computing, Research, Innovation",https://uwaterloo.ca/institute-for-quantum-computing,iqc-csi@uwaterloo.ca,-,,"World-leading quantum institute at the University of Waterloo, advancing the field of quantum information at the highest international level to discover and develop powerful new quantum technologies that will drive future economies."
Microelectronics Heat Transfer Laboratory (MHTL) (University of Waterloo),"Waterloo, ON","200 University Ave W, Waterloo, ON N2L 3G1",43.46896,-80.53926,ON,Educational Institution / Research and Commercialization,"Microelectronics, Engineering, Tech research",https://uwaterloo.ca/microelectronics-heat-transfer-laboratory/,rix@uwaterloo.ca,-,"Dr. Rick Culham, Professor","Provides research ervices related to analytical modelling, materials characterization, and experimental testing for a wide range of companies froms tart-ups to multi-nationals."
Waterloo Advanced Systems Lab (WASL),"Waterloo, ON","200 University Ave W, Waterloo, ON N2L 3G1",43.46896,-80.53926,ON,Educational Institution / Research and Commercialization,"Distributed systems, Network optimization, Data storage",https://wasl.uwaterloo.ca/,alkiswany@uwaterloo.ca,-,"Dr. Samer Al-Kiswany, Professor","Focuses on building the next generation of high performance, reliable, and scalable distributed systems."
Waterloo Advanced Technology Laboratory (WATLab),"Waterloo, ON","200 University Ave W, Waterloo, ON N2L 3G1",43.46896,-80.53926,ON,Educational Institution / Research and Commercialization,"Materials research, Emerging technologies, Instrumentation",https://uwaterloo.ca/waterloo-advanced-technology-laboratory,tong@uwaterloo.ca,519-888-4567,"Dr. Kam Tong Leung, Professor and Advisor",Offers a complete toolset for advanced materials research and emerging technology development.
Waterloo Institute for Nanotechnology (WIN),"Waterloo, ON","200 University Ave W, Waterloo, ON N2L 3G1",43.46896,-80.53926,ON,Educational Institution / Research and Commercialization,"Nanotechnology, Nanoscience, Research innovation",https://uwaterloo.ca/institute-nanotechnology,win-office@uwaterloo.ca,519-888-4567,,"Making fundamental breakthroughs, discoveries, and innovations that will have both local and global impact for all Canadians."
The Accelerator Centre,"Waterloo, ON","295 Hagey Blvd, Waterloo, ON N2L 6R5",43.477384,-80.549063,ON,Accelerator/Incubator Programs,"Startup acceleration, mentorship",https://www.acceleratorcentre.com/,info@acceleratorcentre.com,519-342-2400,,"Supports startups, provides mentorships, access to capital, networks, and platforms."
Perimeter Institute for Theoretical Physics,"Waterloo, ON","31 Caroline St N, Waterloo, ON N2L 2Y5",43.4654,-80.528,ON,Educational Institution / Research and Commercialization,"Physics, research, innovation",https://www.perimeterinstitute.ca/,-,519-569-7600,,"Leading centre for research, training, and outreach in theoretical physics."
David Johnston Research & Technology Park,"Waterloo, ON","200 University Ave W, GSC229, Waterloo, ON N2L 3G1",43.46896,-80.53926,ON,Educational Institution / Research and Commercialization,"Technology, Engineering, Startups",https://rtpark.uwaterloo.ca/,jenn.dawe@uwaterloo.ca,519-497-9178,"Jennifer Dawe, Manager","Committed to fostering the creation of cutting-edge technology by helping companies innovate, access talent, and tap into a world-class ecosystem of startups."
Quantum Valley Ideas Lab,"Waterloo, ON","Research Advancement Centre II, 485 Wes Graham Way, Waterloo, ON N2L 0A7",43.4784,-80.5556,ON,Accelerator/Incubator Programs,"Quantum computing, research",https://qvideaslab.ca/,info@qvil.ca,519-589-6327,,"Independent research laboratory in Waterloo, Ontario, with a mission to accelerate the commercialization of quantum technology for the economic and societal benefit of Canada."
Invest WindsorEssex,"Windsor, ON","119 Chatham St. W., Windsor, ON N9A 5M7",42.3178,-83.0405,ON,Economic Development,"Business attraction, mobility innovation, site selection",https://www.investwindsoressex.com/,info@InvestWindsorEssex.com,519-255-9987,,"Not-for-profit organization suppoted by the City of Windsor and County of Essex, responsibile for advancing economic development to grow and sustain prosperity in the region."
Small Business & Entrepreneurship Centre,"Windsor, ON","119 Chatham St. W., Windsor, ON N9A 5M7",42.3178,-83.0405,ON,Government Program - Business Centre,"Start-up services, workshops, grant navigation",https://www.webusinesscentre.com/,info@webusinesscentre.com,519-253-6900,,"A division of Invest WindsorEssex, in partnership with the Province of Ontario's Ministry of Economic Development, Job Creation and Trade."
St. Clair College Centre for Applied Research and Innovation (CARI),"Windsor, ON","2000 Talbot Rd W, Windsor, ON N9A 6S4",42.2539,-83.0307,ON,Educational Institution / Research and Commercialization,"Applied research, Innovation, Manufacturing, Tech",https://www.stclairresearch.ca/,kdhillon@stclaircollege.ca,519-966-1656 x. 4182,"Dr. Karamjeet Dhillon, Director",Partnership opportunities between organizations and students.
Automotive Parts Manufacturers' Association (APMA),"Windsor, ON","2285 Wyandotte Street West Suite 3006, Windsor, ON N9B 1K3",42.305,-83.066,ON,Ecosystem & Business Networks,"Automotive manufacturing, innovation",https://www.apma.ca/,info@apma.ca,-,,"Represents Canada's OEM supppliers to the global automotive sector, specializing in volume parts, tooling, automation, software, advanced materials, critical minerals, and EV battery technology."
WEtech Alliance,"Windsor, ON","167 Ferry Street, Suite 204, Windsor ON N9A 0C5",42.31826087,-83.04195322,ON,Accelerator/Incubator Programs,"Technology, Innovation",https://wetech-alliance.com/,ypilon@wetech-alliance.com,519-819-8254,"Yvonne Pilon, CEO","Non-profit organization hat provides entrepreneurs and companies with business services, training, IP, and commercialization support, mentorship and strategic connections to help bring new ideas to market, scale to the next level and build a dynamic culture and a community of innovation."
Windsor-Essex Regional Chamber of Commerce,"Windsor, ON","2565 Ouellette Ave. Suite 101, Windsor, ON N8X 1L9",42.28499,-83.01847,ON,Business Chamber/Association,"Local business, Economic development",https://wechamber.org/,mdumouchel@windsoressexchamber.org,519-966-3696 x. 230,"Matthew Dumouchel, Director of Operations","Offers resources, advocacy, and a powerful network to help your business grow and prosper."
Hackforge,"Windsor, ON","300 Ouellette Ave Suite 210, Windsor, ON N9A 7B4",42.3173,-83.0386,ON,Innovation Hub / Coworking Space,"Technology innovation, tech community",https://www.hackf.org/,info@hackf.org,888-960-7641 x. 4,,Building community and capacity around technology in Windsor and Essex County.
